start_time,range_min,WFC,pointing vector,IorD,duct_time,forcus_f,UHR_file_name,lsm,duct_wid_data_n,Plotted
2018-01-08/11:05:00,20,1,,,,,kuma,,,
2018-01-21/13:35:00,10,1,,,,,kuma,,,
