start_time,range_min,WFC,pointing vector,IorD,duct_time,forcus_f,UHR_file_name,lsm,duct_wid_data_n,Plotted
2017-07-03/04:20:00,25,1,,,,,kuma,,,
2017-07-26/20:15:00,20,1,,,,,kuma,,,
2017-07-13/11:20:00,15,1,,,,,kuma,,,
