start_time,range_min,WFC,pointing vector,IorD,duct_time,forcus_f,UHR_file_name,lsm,duct_wid_data_n,Plotted
2017-07-03/04:20:00,25.0,1,,D,2017-07-03/04:32:32,"[4.,5.,6.,7.,8.,9.]",kuma,"[0.0003885061167220895, 0.00014587832147501856]",1,
2017-07-03/04:20:00,,1,,D,2017-07-03/04:32:50,"[4.,5.,6.,7.,8.,9.]",kuma,"[0.0002624997909987045, 0.0006075894584115151]",1,
2017-12-01/23:25:00,15.0,1,,D,2017-12-01/23:36:32,"[4.,5.,6.,7.,8.,9.]",kuma,"[0.0001657776593928861, 0.0007098478980064288]",4,
2018-08-24/13:45:00,30.0,1,,D,2018-08-24/13:46:30,"[3.,4.,5.,6.,7.,8.]",kuma,"[0.00044576302856956713, 1.5555388312756606e-05]",4,
