start_time,range_min,WFC,pointing vector,IorD,duct_time,forcus_f,UHR_file_name,lsm,duct_wid_data_n,Plotted
2018-05-18/22:55:00,5,1,,,,,kuma,,,
2018-05-19/17:30:00,20,1,,,,,kuma,,,
