start_time,range_min,WFC,pointing vector,IorD,duct_time,forcus_f,UHR_file_name,lsm,duct_wid_data_n,Plotted
2017-12-01/23:25:00,15,1,,,,,kuma,,,
2017-12-25/03:10:00,20,1,,,,,kuma,,,
2017-12-26/23:20:00,30,1,,,,,kuma,,,
2017-12-30/09:05:00,10,1,,,,,kuma,,,
